15	69572972	69572972	chromHMM	0	+	69572972	69572972	211,211,211
15	69591607	69591607	chromHMM	0	+	69591607	69591607	178,34,34
15	69591899	69591899	chromHMM	0	+	69591899	69591899	211,211,211
15	69593429	69593429	chromHMM	0	+	69593429	69593429	211,211,211
15	69593452	69593452	chromHMM	0	+	69593452	69593452	211,211,211
15	69593622	69593622	chromHMM	0	+	69593622	69593622	211,211,211
15	69594755	69594755	chromHMM	0	+	69594755	69594755	211,211,211
15	69595394	69595394	chromHMM	0	+	69595394	69595394	211,211,211
15	69591607	69591607	Dnase/ATAC	0	+	69591607	69591607	178,34,34
15	69591899	69591899	Dnase/ATAC	0	+	69591899	69591899	211,211,211
15	69572972	69572972	Active Histone	0	+	69572972	69572972	211,211,211
15	69591607	69591607	Active Histone	0	+	69591607	69591607	178,34,34
15	69591899	69591899	Active Histone	0	+	69591899	69591899	211,211,211
15	69593429	69593429	Active Histone	0	+	69593429	69593429	211,211,211
15	69593452	69593452	Active Histone	0	+	69593452	69593452	211,211,211
15	69593622	69593622	Active Histone	0	+	69593622	69593622	211,211,211
15	69594755	69594755	Active Histone	0	+	69594755	69594755	211,211,211
15	69595394	69595394	Active Histone	0	+	69595394	69595394	211,211,211
15	69591607	69591607	TFBS	0	+	69591607	69591607	178,34,34
15	69591899	69591899	TFBS	0	+	69591899	69591899	211,211,211
15	69593429	69593429	TFBS	0	+	69593429	69593429	211,211,211
15	69593452	69593452	TFBS	0	+	69593452	69593452	211,211,211
15	69594755	69594755	TFBS	0	+	69594755	69594755	211,211,211
15	69572972	69572972	eQTL	0	+	69572972	69572972	211,211,211
15	69587410	69587410	eQTL	0	+	69587410	69587410	211,211,211
15	69591607	69591607	eQTL	0	+	69591607	69591607	178,34,34
15	69591899	69591899	eQTL	0	+	69591899	69591899	211,211,211
15	69593429	69593429	eQTL	0	+	69593429	69593429	211,211,211
15	69593452	69593452	eQTL	0	+	69593452	69593452	211,211,211
15	69593622	69593622	eQTL	0	+	69593622	69593622	211,211,211
15	69594755	69594755	eQTL	0	+	69594755	69594755	211,211,211
15	69595394	69595394	eQTL	0	+	69595394	69595394	211,211,211
